lineId,x,y
0,0,198.6942596435547
0,1,206.9644775390625
0,2,213.2428741455078
0,3,219.43922424316406
0,4,224.8397674560547
0,5,229.57177734375
0,6,234.62632751464844
0,7,236.58892822265625
0,8,239.07627868652344
0,9,240.81564331054688
0,10,241.95458984375
0,11,242.45399475097656
0,12,242.41571044921875
0,13,242.13540649414062
0,14,240.88743591308594
0,15,239.63650512695312
0,16,237.86090087890625
0,17,235.8538055419922
0,18,233.5207061767578
0,19,230.18919372558594
0,20,228.25914001464844
0,21,225.23011779785156
0,22,222.03329467773438
0,23,218.6181182861328
0,24,214.91775512695312
0,25,211.00543212890625
0,26,206.79391479492188
0,27,202.2402801513672
0,28,197.45265197753906
0,29,192.25636291503906
0,30,186.78518676757812
0,31,180.91827392578125
0,32,174.6725616455078
0,33,168.07684326171875
0,34,161.20822143554688
0,35,153.94686889648438
0,36,146.48037719726562
0,37,138.75039672851562
0,38,130.95750427246094
0,39,123.0888900756836
0,40,115.30096435546875
0,41,107.65409851074219
0,42,100.22219848632812
0,43,93.19438171386719
0,44,86.69854736328125
0,45,80.83635711669922
0,46,75.63969421386719
0,47,71.30455017089844
0,48,67.98170471191406
0,49,65.55648803710938
0,50,64.42914581298828
0,51,64.32188415527344
0,52,65.43025207519531
0,53,67.77465057373047
0,54,71.3085708618164
0,55,76.0478744506836
0,56,81.88908386230469
0,57,88.92357635498047
0,58,96.87396240234375
0,59,105.82095336914062
0,60,115.46041107177734
0,61,125.92406463623047
0,62,136.86488342285156
0,63,148.20880126953125
0,64,159.9701385498047
0,65,171.84886169433594
0,66,183.7357940673828
0,67,195.5938262939453
0,68,207.31654357910156
0,69,218.7418212890625
0,70,229.72926330566406
0,71,240.26119995117188
0,72,250.355224609375
0,73,259.7995910644531
0,74,268.7035827636719
0,75,276.81640625
0,76,284.2606201171875
0,77,291.0320129394531
0,78,297.0856628417969
0,79,302.4588317871094
0,80,307.04522705078125
0,81,310.9103698730469
0,82,314.027099609375
0,83,316.4801330566406
0,84,318.2200012207031
0,85,319.2568054199219
0,86,319.55145263671875
0,87,319.21368408203125
0,88,318.18505859375
0,89,316.3908386230469
0,90,314.03216552734375
0,91,310.8805236816406
0,92,307.1228942871094
0,93,302.6383361816406
0,94,297.34820556640625
0,95,291.5330505371094
0,96,284.915283203125
0,97,277.5787658691406
0,98,269.4267883300781
0,99,260.663330078125
1,0,149.74632263183594
1,1,158.2845916748047
1,2,164.56478881835938
1,3,170.80723571777344
1,4,176.27943420410156
1,5,181.2532958984375
1,6,187.17178344726562
1,7,189.72779846191406
1,8,193.4757537841797
1,9,196.9084014892578
1,10,200.04803466796875
1,11,203.09625244140625
1,12,206.0836639404297
1,13,208.01751708984375
1,14,211.78749084472656
1,15,214.73634338378906
1,16,217.666259765625
1,17,220.74737548828125
1,18,223.95106506347656
1,19,228.48345947265625
1,20,230.88217163085938
1,21,234.7339324951172
1,22,238.85426330566406
1,23,243.28683471679688
1,24,248.18472290039062
1,25,253.3799591064453
1,26,259.0816955566406
1,27,265.3106689453125
1,28,272.0392761230469
1,29,279.3963623046875
1,30,287.33416748046875
1,31,296.0481872558594
1,32,305.47509765625
1,33,315.61883544921875
1,34,326.59991455078125
1,35,338.4805908203125
1,36,351.19024658203125
1,37,364.81231689453125
1,38,379.2466735839844
1,39,394.6860046386719
1,40,411.0432434082031
1,41,428.17767333984375
1,42,446.24224853515625
1,43,465.1384582519531
1,44,484.8877258300781
1,45,505.24176025390625
1,46,526.3138427734375
1,47,547.907958984375
1,48,569.9733276367188
1,49,592.4577026367188
1,50,615.1423950195312
1,51,637.9494018554688
1,52,660.828369140625
1,53,683.46826171875
1,54,705.9273681640625
1,55,727.951416015625
1,56,749.4374389648438
1,57,770.3028564453125
1,58,790.3577880859375
1,59,809.4984741210938
1,60,827.631103515625
1,61,844.6986083984375
1,62,860.5784912109375
1,63,875.2412719726562
1,64,888.6288452148438
1,65,900.7260131835938
1,66,911.4640502929688
1,67,920.9036254882812
